"","","","","","","","","","","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","","Manager","Manager","Manager"
"Rk","Name","Inducted As","HOFm","HOFs","Yrs","WAR","WAR7","JAWS","Jpos","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","OPS+","W","L","ERA","ERA+","WHIP","G","GS","SV","IP","H","HR","BB","SO","Pos Summary","W","L","W-L%"
"1","Fred McGriff","as Player","100","48","19","52.6","36.0","44.3","53.4","2460","8757","1349","2490","493","1550","72","1305",".284",".377",".509",".886","134","","","","","","","","","","","","","","*3DH","","",""
